advertiser_id,advertiser_name,cohort,flip_date,pre_days,post_days,impressions_pre,impressions_post,impressions_pct_change,vv_pre,vv_post,vv_pct_change,conversions_pre,conversions_post,conversions_pct_change,spend_pre,spend_post,spend_pct_change,order_value_pre,order_value_post,order_value_pct_change,ivr_pre,ivr_post,ivr_pct_change,vvr_pre,vvr_post,vvr_pct_change,cvr_pre,cvr_post,cvr_pct_change,roas_pre,roas_post,roas_pct_change,cpv_pre,cpv_post,cpv_pct_change,cpa_pre,cpa_post,cpa_pct_change,aov_pre,aov_post,aov_pct_change
32233,University of Northwestern Ohio,Tier1-Wave1,2026-05-01,31,5,354319.0,51948.0,-0.8533863552335608,1464.0,228.0,-0.8442622950819673,20.0,3.0,-0.85,22706.186740303183,3362.495040814084,-0.8519128253778651,0.0,0.0,,0.004131869868677661,0.004389004389004389,0.0622319987074084,0.005005795644547478,0.005104896670622215,0.019797257641286623,0.01366120218579235,0.013157894736842105,-0.03684210526315792,0.0,0.0,,15.509690396381956,14.747785266728439,-0.04912445768944887,1135.3093370151591,1120.8316802713614,-0.01275216918576654,0.0,0.0,
32320,Biz2Credit,Tier1-Wave1,2026-05-01,31,5,2234440.0,313924.0,-0.8595066325343262,23657.0,3258.0,-0.8622817770638712,1164.0,192.0,-0.8350515463917526,44990.92060005437,6171.238538961516,-0.8628336905167916,0.0,0.0,,0.010587440253486333,0.010378308125533569,-0.019752850825665694,0.011828576885749757,0.011489267162489552,-0.028685591389187425,0.049203195671471446,0.058931860036832415,0.19772423787916188,0.0,0.0,,1.9018016062921914,1.894180030374928,-0.004007555726132003,38.6519936426584,32.14186739042456,-0.168429248758049,0.0,0.0,
38659,Big Blue Bubble Inc.,Tier1-Wave1,2026-05-01,31,5,258472.0,38700.0,-0.8502739174842923,2493.0,450.0,-0.8194945848375451,0.0,0.0,,24741.623079365076,3695.0547135135134,-0.8506543123035751,0.0,0.0,,0.009645145315546751,0.011627906976744186,0.20557094749018187,0.009810210016409377,0.011768090169722011,0.19957576341767605,0.0,0.0,,0.0,0.0,,9.924437657186152,8.211232696696696,-0.17262489016180654,,,,,,
30181,Longines,Tier1-Wave2,2026-05-06,31,0,4530641.0,0.0,-1.0,60643.0,0.0,-1.0,169.0,0.0,-1.0,97456.77078918288,0.0,-1.0,369851.18,0.0,-1.0,0.013385081713602998,,,0.01811100024578852,,,0.0027868014445195655,,,3.795028062237532,,,1.6070572166479704,,,576.6672827762301,,,2188.4685207100592,,
30496,Lofta,Tier1-Wave2,2026-05-06,31,0,1613402.0,0.0,-1.0,40830.0,0.0,-1.0,1645.0,0.0,-1.0,39472.20307403531,0.0,-1.0,466620.32999999996,0.0,-1.0,0.025306774133167058,,,0.02846238301876928,,,0.04028900318393338,,,11.821491927491156,,,0.9667451157001055,,,23.995260227377088,,,283.6597750759878,,
30750,National Business Furniture,Tier1-Wave2,2026-05-06,31,0,3858046.0,0.0,-1.0,36644.0,0.0,-1.0,293.0,0.0,-1.0,98371.01877094388,0.0,-1.0,716048.7999999999,0.0,-1.0,0.00949807234024685,,,0.012891110502117971,,,0.007995851981224758,,,7.2790625627992505,,,2.684505478958189,,,335.7372654298426,,,2443.852559726962,,
32394,Bugaboo North America Inc,Tier1-Wave2,2026-05-06,31,0,59339.0,0.0,-1.0,829.0,0.0,-1.0,20.0,0.0,-1.0,3246.4144656372137,0.0,-1.0,26026.15,0.0,-1.0,0.01397057584388008,,,0.01752531551910027,,,0.024125452352231604,,,8.016890719124962,,,3.916060875316301,,,162.3207232818607,,,1301.3075000000001,,
33023,Petal and Pup,Tier1-Wave2,2026-05-06,31,0,1352992.0,0.0,-1.0,137751.0,0.0,-1.0,3318.0,0.0,-1.0,49687.49508834836,0.0,-1.0,431643.22000000003,0.0,-1.0,0.10181213192687022,,,0.13328295548333224,,,0.02408693947775334,,,8.687160003387245,,,0.36070514978728546,,,14.975134143564906,,,130.09138637733577,,
33330,Concordia University Irvine,Tier1-Wave2,2026-05-06,31,0,98068.0,0.0,-1.0,3608.0,0.0,-1.0,252.0,0.0,-1.0,8591.471229780645,0.0,-1.0,0.0,0.0,,0.03679079822164213,,,0.04097485633815613,,,0.06984478935698447,,,0.0,,,2.381228167899292,,,34.09313980071685,,,0.0,,
33980,Locumstory,Tier1-Wave2,2026-05-06,31,0,123334.0,0.0,-1.0,1063.0,0.0,-1.0,18.0,0.0,-1.0,10336.329692606892,0.0,-1.0,0.0,0.0,,0.008618872330419835,,,0.008846022618522556,,,0.016933207902163686,,,0.0,,,9.723734423901123,,,574.2405384781607,,,0.0,,
