advertiser_id,advertiser_name,cohort,flip_date,pre_days,post_days,ivr_pre,ivr_post,ivr_pct_change,cvr_pre,cvr_post,cvr_pct_change,roas_pre,roas_post,roas_pct_change,cpa_pre,cpa_post,cpa_pct_change,cpv_pre,cpv_post,cpv_pct_change,impressions_pre,impressions_post,impressions_pct_change,vv_pre,vv_post,vv_pct_change,conversions_pre,conversions_post,conversions_pct_change,spend_pre,spend_post,spend_pct_change,order_value_pre,order_value_post,order_value_pct_change,vvr_pre,vvr_post,vvr_pct_change,aov_pre,aov_post,aov_pct_change
35805,Glacier Country Tourism,Tier1-Wave2,2026-05-06,31,-2,0.003140152389748326,,,0.052941176470588235,,,0.0,,,552.3571056357946,,,29.242435004247948,,,108275.0,0.0,-1.0,340.0,0.0,-1.0,18.0,0.0,-1.0,9942.427901444302,0.0,-1.0,0.0,0.0,,0.003147885824329454,,,0.0,,
36743,Lulus,Tier1-Wave2,2026-05-06,31,-2,0.1183743647961002,,,0.16529103637342732,,,42.775661427335,,,3.1876736260053993,,,0.5268938772626734,,,1725627.0,0.0,-1.0,204270.0,0.0,-1.0,33764.0,0.0,-1.0,107628.6123084463,0.0,-1.0,4603885.08,0.0,-1.0,0.12687530357029725,,,136.35484776685226,,
38019,All Inclusive Outlet,Tier1-Wave2,2026-05-06,31,-2,0.022151196921270627,,,0.010011778563015312,,,8.289336955285519,,,420.3641872628932,,,4.208593158697989,,,229965.0,0.0,-1.0,5094.0,0.0,-1.0,51.0,0.0,-1.0,21438.573550407553,0.0,-1.0,177711.56,0.0,-1.0,0.022809193528887616,,,3484.5403921568627,,
38363,Timex,Tier1-Wave2,2026-05-06,31,-2,0.049281907539835294,,,0.019879206591931705,,,6.867612971183558,,,28.74893161903025,,,0.57150595095202,,,1844470.0,0.0,-1.0,90899.0,0.0,-1.0,1807.0,0.0,-1.0,51949.31943558766,0.0,-1.0,356767.81999999995,0.0,-1.0,0.05473736314755946,,,197.43653569452127,,
38656,Inter Miami CF,Tier1-Wave2,2026-05-06,31,-2,0.09367280261375409,,,0.027435133985538068,,,15.4125359715495,,,18.73472431377374,,,0.5139896717305003,,,50196.0,0.0,-1.0,4702.0,0.0,-1.0,129.0,0.0,-1.0,2416.7794364768124,0.0,-1.0,37248.700000000004,0.0,-1.0,0.09586332035311627,,,288.7496124031008,,
38667,Trading Card Market - Logical Position,Tier1-Wave2,2026-05-06,31,-2,0.0787787322962619,,,0.05098732684939582,,,48.64233089638107,,,9.260569064822462,,,0.47217166171950664,,,43070.0,0.0,-1.0,3393.0,0.0,-1.0,173.0,0.0,-1.0,1602.078448214286,0.0,-1.0,77928.83,0.0,-1.0,0.08999761279541657,,,450.4556647398844,,
39130,University of Central Oklahoma - Masters,Tier1-Wave2,2026-05-06,31,-2,0.02453797173474142,,,0.0,,,0.0,,,,,,0.6161704703135633,,,77268.0,0.0,-1.0,1896.0,0.0,-1.0,0.0,0.0,,1168.2592117145161,0.0,-1.0,0.0,0.0,,0.026848678807103003,,,,,
39292,Modern Nose Clinic,Tier1-Wave2,2026-05-06,31,-2,0.00011997120691034152,,,0.0,,,0.0,,,,,,174.7014128293242,,,100024.0,0.0,-1.0,12.0,0.0,-1.0,0.0,0.0,,2096.4169539518903,0.0,-1.0,0.0,0.0,,0.0005451819544773068,,,,,
39439,LA Opera,Tier1-Wave2,2026-05-06,31,-2,0.033862889100574625,,,0.04627949183303085,,,3.9649258007881967,,,62.32839235762373,,,2.8845263250805897,,,32543.0,0.0,-1.0,1102.0,0.0,-1.0,51.0,0.0,-1.0,3178.74801023881,0.0,-1.0,12603.5,0.0,-1.0,0.03440739353066067,,,247.12745098039215,,
39975,MyRacehorse,Tier1-Wave2,2026-05-06,31,-2,0.01812800714273904,,,0.00018241517694272163,,,0.0,,,6874.569047832409,,,1.2540257292653063,,,302405.0,0.0,-1.0,5482.0,0.0,-1.0,1.0,0.0,-1.0,6874.569047832409,0.0,-1.0,0.0,0.0,,0.018244749891836123,,,0.0,,
