n_features,dropped,auc
44,0,0.8907031118138873
41,3,0.8938053371858743
38,6,0.8959959888875146
35,9,0.895287734948399
32,12,0.8930218873510644
29,15,0.8922235922123529
26,18,0.8943843317344905
23,21,0.8946642598810038
20,24,0.896250020841588
17,27,0.8965587256126416
14,30,0.8984225036638266
11,33,0.8992100802715494
8,36,0.8949932384626094
5,39,0.8980078876201631
