feature,source,gain,weight,cover,composite_rank,mean_abs_shap,tag,category
cv_n_orders,conversion_log,10.695409774780272,281.0,327.5185852050781,8.0,0.26604283,FEEDBACK,Feedback (Post-Visit)
cv_n_conv,conversion_log,7.878147125244141,410.0,196.2621612548828,9.0,0.21350029,FEEDBACK,Feedback (Post-Visit)
gl_pct_new,guid_log,4.923789024353027,1147.0,154.6687774658203,9.0,0.3729779,FEEDBACK,Feedback (Post-Visit)
gl_has_mobile,guid_log,40.28221130371094,59.0,175.68695068359375,9.666666666666666,0.09358146,FEEDBACK,Feedback (Post-Visit)
cv_total_amt,conversion_log,6.19766902923584,557.0,117.16731262207033,10.0,0.12892182,FEEDBACK,Feedback (Post-Visit)
cv_avg_amt,conversion_log,4.50193452835083,619.0,100.42505645751952,11.333333333333334,0.20632373,FEEDBACK,Feedback (Post-Visit)
cv_n_adv,conversion_log,5.758934497833252,142.0,112.18256378173828,12.666666666666666,0.053771693,FEEDBACK,Feedback (Post-Visit)
gl_n_product_views,guid_log,3.819537878036499,423.0,63.598506927490234,13.333333333333334,0.088458024,FEEDBACK,Feedback (Post-Visit)
gl_has_tablet,guid_log,3.833632469177246,54.0,81.00527954101562,15.333333333333334,0.003156797,FEEDBACK,Feedback (Post-Visit)
gl_has_new_visit,guid_log,2.7894773483276367,32.0,23.597692489624023,17.0,0.014896348,FEEDBACK,Feedback (Post-Visit)
gl_has_desktop,guid_log,0.0,0.0,0.0,18.5,0.0,ZERO,Feedback (Post-Visit)
gl_n_utm_events,guid_log,0.0,0.0,0.0,18.5,0.0,ZERO,Feedback (Post-Visit)
wl_skips,win_logs,0.0,0.0,0.0,46.0,0.0,ZERO,Pre-Visit
wl_viewability,win_logs,0.0,0.0,0.0,46.0,0.0,ZERO,Pre-Visit
wl_invalid,win_logs,0.0,0.0,0.0,46.0,0.0,ZERO,Pre-Visit
