advertiser_id,company_name,vertical_id,vertical_name,cohort,flip_date,pre_days_planned,post_days_planned,impressions_pre,impressions_post,impressions_pct_change,vv_pre,vv_post,vv_pct_change,conversions_pre,conversions_post,spend_pre,spend_post,order_value_pre,order_value_post,ivr_pre,ivr_post,ivr_pct_change,vvr_pre,vvr_post,vvr_pct_change,cvr_pre,cvr_post,cvr_pct_change,roas_pre,roas_post,roas_pct_change,cpv_pre,cpv_post,cpa_pre,cpa_post,aov_pre,aov_post,still_treated
32233,University of Northwestern Ohio,107000,Colleges & Universities,Tier1-Wave1,2026-05-01,31,3,354319,32046,-0.9095560779975107,1464,139,-0.9050546448087432,20,0,22706.18674030318009577287083722377840009444,2078.48080451697372112597026091835780417691,0,0,0.004131869868677661,0.004337514822442739,0.04977043331495123,0.007119999221858009,0.005858057990559677,-0.17723895635047843,0.01366120218579235,0.0,-1.0,0,0,,15.50969039638195361733119592706542240444,14.95309931307175338939546950300976837537,1135.30933701515900478864354186118892000472,,0,,true
32320,Biz2Credit,111004,Lending & Brokerage,Tier1-Wave1,2026-05-01,31,3,2234440,185833,-0.9168324054349188,23657,1802,-0.9238280424398698,1164,100,44990.92060005436879279739840050510365153436,3604.36120444475024081464153020503646638899,0,0,0.010587440253486333,0.009696878380050906,-0.08411493733267336,0.01903314488184035,0.011684909477615812,-0.3860757352420271,0.049203195671471446,0.05549389567147614,0.1278514518042191,0,0,,1.90180160629219126655101654480724959427,2.0002004464177304333044625583823731778,38.65199364265839243367474089390472822297,36.04361204444750240814641530205036466389,0,0,true
38659,Big Blue Bubble Inc.,110001,Games & Comics,Tier1-Wave1,2026-05-01,31,3,258472,23965,-0.9072820266798725,2493,302,-0.8788608102687525,0,0,24741.62307936507936470249206349206349220571,2297.52801081081081081081081081081081082398,0,0,0.009645145315546751,0.012601710828291259,0.3065340558403925,0.010669074662124571,0.012728115648838875,0.1929915247499336,0.0,0.0,,0,0,,9.92443765718615297420878141335421720506,7.60770864506890996957222122785036692326,,,,,true
46538,authenTEAK,120006,Outdoor Furniture & Goods,Tier1-Wave2,2026-05-05,31,-1,1766730,0,-1.0,2631,0,-1.0,18,0,39335.83129696368923748370660610866797167176,0,18739.76,0,0.0014891918968942624,,,0.0022514562583381328,,,0.0068415051311288486,,,0.47640432099998638053853778991664956114,,,14.95090509196643452583949319882503533701,,2185.32396094242717986020592256159266509288,,1041.097777778,,true
