week_start,total_spend,pct_spend_mm,pct_spend_3p,pct_spend_crm,pct_spend_pp,pct_spend_keywords,pct_spend_pp_ex_wgu
2026-01-05,2230782.896765,0.445172159,0.330734615,0.292708575,0.139408442,0.491269532,0.165138214
2026-01-12,2424980.662403,0.441143542,0.310459055,0.281587894,0.156077349,0.487719918,0.183663223
2026-01-19,2540996.86269,0.450385222,0.31361172,0.288657044,0.147543016,0.477412,0.173130486
2026-01-26,2511502.324029,0.451799418,0.365847698,0.311697175,0.129172517,0.478010464,0.152263134
2026-02-02,2441404.279736,0.445038348,0.369410683,0.29280093,0.132920278,0.473047571,0.158856028
2026-02-09,2499378.210641,0.44077206,0.369526846,0.290822508,0.133971319,0.473607775,0.159399015
2026-02-16,2593001.614103,0.432880952,0.375254443,0.277753122,0.121624621,0.462545972,0.144145208
2026-02-23,1823298.907953,0.436743635,0.402562055,0.270962132,0.12865857,0.457816443,0.152332085
2026-03-02,2018301.160352,0.473389571,0.394977409,0.272696146,0.139219333,0.457679954,0.168091125
2026-03-09,1939109.237957,0.461539959,0.382842414,0.305481098,0.139720193,0.489368606,0.165456837
2026-03-16,2725704.030726,0.379027991,0.350279673,0.263490701,0.110227433,0.396703949,0.135934307
2026-03-23,1852266.127005,0.391414563,0.406359288,0.308106695,0.127885696,0.423635904,0.150523869
2026-03-30,1787006.036229,0.415528574,0.440778674,0.322357768,0.121533436,0.407967982,0.141153789
2026-04-06,2767656.373341,0.380684838,0.427984465,0.330453702,0.123285954,0.394757421,0.142466101
2026-04-13,564358.493875,0.39077562,0.414652956,0.342036809,0.12009975,0.3970333,0.138025063
