week_start,n_advertisers,n_campaigns,pct_adv_mm,pct_adv_3p,pct_adv_crm,pct_adv_pp,pct_adv_keywords,pct_camp_mm,pct_camp_3p,pct_camp_crm,pct_camp_pp,pct_camp_keywords,pct_camp_retargeting,pct_camp_prospecting,pct_camp_funnel_1,pct_camp_funnel_ge2
2024-11-04,872,8975,0.9896788990825688,0.0,0.2889908256880734,0.0,0.4197247706422018,0.9806128133704736,0.0,0.08557103064066852,0.0,0.06852367688022284,0.41949860724233984,0.43409470752089135,0.2716434540389972,0.6762116991643454
2024-11-11,940,10731,0.9904255319148936,0.0,0.2957446808510638,0.0,0.4797872340425532,0.9823874755381604,0.0,0.08890131395023763,0.0,0.0697045941664337,0.4029447395396515,0.44450656975118813,0.2742521666200727,0.6818563041655018
2024-11-18,1009,11833,0.9910802775024777,0.0,0.2993062438057483,0.0,0.5024777006937562,0.9830136060170709,0.0,0.0857770641426519,0.0,0.07479083917856841,0.39296881602298656,0.4510267894870278,0.2700921152708527,0.6900194371672441
2024-11-25,1035,12434,0.991304347826087,0.0,0.2975845410628019,0.0,0.5159420289855072,0.982628277304166,0.0,0.08621521634228728,0.0,0.07487534180472896,0.393437349203796,0.45061926974424965,0.26982467428019946,0.6915714975068361
2024-12-02,1084,13384,0.9916974169741697,0.0,0.2952029520295203,0.0,0.525830258302583,0.9825911536162583,0.0,0.0856246264196055,0.0,0.07763000597728631,0.3830693365212194,0.4581589958158996,0.2677077106993425,0.6964285714285714
2024-12-09,1140,15647,0.993859649122807,0.0,0.2956140350877193,0.0,0.5473684210526316,0.9840864063398734,0.0,0.09586502204895507,0.0,0.08091007860931808,0.3451779893909376,0.5027161756247204,0.3042116699686841,0.6638333226816642
2024-12-16,1281,21037,0.9976580796252927,0.0,0.29586260733801717,0.0,0.5362997658079626,0.9848362409088749,0.0,0.08760754860483909,0.0,0.068498360032324,0.2997100347007653,0.5369111565337263,0.2887293815658126,0.6801350002376765
2024-12-23,1294,21559,0.9976816074188563,0.0,0.2936630602782071,0.0,0.5394126738794436,0.9847395519272694,0.0,0.08571826151491256,0.0,0.0686488241569646,0.29866876942344267,0.5371306646876015,0.2873509903056728,0.6822672665708057
2024-12-30,1354,23715,0.9985228951255539,0.0,0.2902511078286558,0.0,0.5420974889217134,0.985831752055661,0.0,0.08260594560404808,0.0,0.06991355682057769,0.32089394897744045,0.5205566097406704,0.27632300231920726,0.6840818047649168
2025-01-06,1407,26006,0.9992892679459844,0.0,0.28429282160625446,0.0,0.5565031982942431,0.9869260939783127,0.0,0.07732830885180343,0.0,0.068330385295701,0.30181496577712835,0.5305314158271168,0.2606321618088134,0.7027224486656926
2025-01-13,1485,29786,0.9993265993265993,0.0,0.2760942760942761,0.0,0.5595959595959596,0.9882830860135634,0.0,0.07003290136305647,0.0,0.06435909487678776,0.2764385953132344,0.5407909756261331,0.23819915396494998,0.7296045121869335
2025-01-20,1526,30767,0.9993446920052425,0.0,0.2712975098296199,0.0,0.5701179554390564,0.9885591705398641,0.0,0.0688399908993402,0.0,0.06591477882146456,0.2727922774401144,0.5429518640101407,0.23720219715929405,0.731400526538174
2025-01-27,1562,32346,0.9993597951344431,0.0,0.26696542893725994,0.0,0.5857874519846351,0.9890249180733321,0.0,0.06714895195696531,0.0,0.0680764236690781,0.28093118159896124,0.536696964075929,0.23446484882211094,0.7355468991529092
